R,G,B,SPAD,Nitorgen,Category,Normalized R,Normalized G,Normalized B,SR B/R,NDVI (cam),Excess NIRB
144.46457239,174.46312391,201.84646026,60.3405278469195,3.27840336616365,Normal,0.277403497409065,0.335007261232825,0.38758924135811,57.38188787,0.165694657288014,84.76522422
156.17326633,183.9806748,206.63296482,52.5170643771702,3.0210114180089,Normal,0.28561998217324,0.336476007011082,0.377904010815678,50.45969849,0.139081675444372,73.11198851
142.77606738,174.03851292,202.2611095,55.4579868298665,3.11776776670261,Normal,0.275058281837494,0.335285424341597,0.389656293820909,59.48504212,0.172401834080297,87.7076387
153.92530099,184.86017877,213.46128238,68.9398332590346,3.56132051422224,High,0.278725583457524,0.334741987537694,0.386532429004781,59.53598139,0.162052682609916,88.137085
141.88222667,171.25356359,196.53676949,53.3410650479072,3.04812104007615,Normal,0.278379174934579,0.336007031012228,0.385613794053193,54.65454282,0.161499630458569,79.93774872
140.40843248,171.335731,199.16205386,62.6656251035884,3.35489906590806,High,0.274822321033843,0.33535651981698,0.389821159149177,58.75362138,0.173023344912173,86.57994424
157.34783649,187.42957368,213.60387061,57.3860467286454,3.18120093737243,Normal,0.28179282133205,0.335665933174158,0.382541245493792,56.25603412,0.151653255783063,82.43033105
145.10375204,176.33074299,204.38169954,63.0995502129498,3.36917520200605,High,0.275959077598708,0.335346732966639,0.388694189434653,59.2779475,0.169614921685605,87.32890405
165.09536459,195.71018728,222.7614557,63.8198173808905,3.3928719918313,High,0.282907296760084,0.335368834668955,0.381723868570962,57.66609111,0.148678811595689,84.71735953
146.07236682,177.54464196,207.16240994,61.1956077371249,3.30653549455141,High,0.275203524605872,0.334497977310721,0.390298498083407,61.09004312,0.172944588526476,90.7078111
160.45653635,189.30676521,213.88485281,54.6112234357256,3.08990925103537,Normal,0.284674996460062,0.335859815635503,0.379465187904435,53.42831646,0.142726179917989,78.00640406
147.47418327,177.65062758,204.97316732,62.6642331959676,3.35485327214733,High,0.278201746362265,0.335127910114436,0.386670343523299,57.49898405,0.163142052149764,84.82152379
141.17993853,171.7073866,198.00700509,61.4450605809502,3.31474249311326,High,0.276338824251985,0.336091783453654,0.387569392294361,56.82706656,0.167539074333194,83.12668505
147.80442308,178.36936423,205.65714984,64.6262257483882,3.41940282712197,High,0.277916181168514,0.335387341672626,0.38669647715886,57.85272676,0.163674727869482,85.14051237
159.28978303,188.29779265,213.51798629,49.7623240756687,2.9303804620895,Normal,0.283885589140741,0.335583543297807,0.380530867561452,54.22820326,0.145458887187121,79.4483969
